Image Name,Channel,Well Name,Total,ICW Type,ICW Relative,ICW % Response
0000188_02,800,E03,440.7371216,None,0,#NUM!
0000188_02,700,E04,1628.970947,None,0,#NUM!
0000188_02,800,E04,394.3946228,None,0,#NUM!
0000188_02,700,E05,1730.305786,None,0,#NUM!
0000188_02,800,E05,408.3084106,None,0,#NUM!
0000188_02,700,E06,1674.011108,None,0,#NUM!
0000188_02,800,E06,400.949707,None,0,#NUM!
0000188_02,700,E07,1917.415405,None,0,#NUM!
0000188_02,800,E07,406.4676514,None,0,#NUM!
0000188_02,700,E08,3089.724609,None,0,#NUM!
0000188_02,800,E08,408.3466187,None,0,#NUM!
0000188_02,700,E09,108644.3359,None,0,#NUM!
0000188_02,800,E09,956.7780762,None,0,#NUM!
0000188_02,700,E10,2261.694824,None,0,#NUM!
0000188_02,800,E10,393.5823364,None,0,#NUM!
0000188_02,700,E11,1748.392822,None,0,#NUM!
0000188_02,800,E11,371.4405518,None,0,#NUM!
0000188_02,700,E12,1789.48938,None,0,#NUM!
0000188_02,800,E12,3667.082031,None,0,#NUM!
0000188_02,700,F01,10557.12891,None,0,#NUM!
0000188_02,800,F01,12569.96289,None,0,#NUM!
0000188_02,700,F02,1507.640869,None,0,#NUM!
0000188_02,800,F02,317.6741638,None,0,#NUM!
0000188_02,700,F03,1585.236816,None,0,#NUM!
0000188_02,800,F03,333.0187988,None,0,#NUM!
0000188_02,700,F04,1500.838013,None,0,#NUM!
0000188_02,800,F04,358.3110352,None,0,#NUM!
0000188_02,700,F05,1747.557007,None,0,#NUM!
0000188_02,800,F05,358.342865,None,0,#NUM!
0000188_02,700,F06,1674.618164,None,0,#NUM!
0000188_02,800,F06,365.8566895,None,0,#NUM!
0000188_02,700,F07,1637.471558,None,0,#NUM!
0000188_02,800,F07,359.3384094,None,0,#NUM!
0000188_02,700,F08,1798.575928,None,0,#NUM!
0000188_02,800,F08,369.3826904,None,0,#NUM!
0000188_02,700,F09,1747.845093,None,0,#NUM!
0000188_02,800,F09,342.4074097,None,0,#NUM!
0000188_02,700,F10,2039.504395,None,0,#NUM!
0000188_02,800,F10,378.9125366,None,0,#NUM!
0000188_02,700,F11,1724.959839,None,0,#NUM!
0000188_02,800,F11,390.0130615,None,0,#NUM!
0000188_02,700,F12,1803.936646,None,0,#NUM!
0000188_02,800,F12,421.7944031,None,0,#NUM!
0000188_02,700,G01,#NUM!,None,0,#NUM!
0000188_02,800,G01,#NUM!,None,0,#NUM!
0000188_02,700,G02,#NUM!,None,0,#NUM!
0000188_02,800,G02,#NUM!,None,0,#NUM!
0000188_02,700,G03,#NUM!,None,0,#NUM!
0000188_02,800,G03,#NUM!,None,0,#NUM!
0000188_02,700,G04,#NUM!,None,0,#NUM!
0000188_02,800,G04,#NUM!,None,0,#NUM!
0000188_02,700,G05,#NUM!,None,0,#NUM!
0000188_02,800,G05,#NUM!,None,0,#NUM!
0000188_02,700,G06,#NUM!,None,0,#NUM!
0000188_02,800,G06,#NUM!,None,0,#NUM!
0000188_02,700,G07,#NUM!,None,0,#NUM!
0000188_02,800,G07,#NUM!,None,0,#NUM!
0000188_02,700,G08,#NUM!,None,0,#NUM!
0000188_02,800,G08,#NUM!,None,0,#NUM!
0000188_02,700,G09,#NUM!,None,0,#NUM!
0000188_02,800,G09,#NUM!,None,0,#NUM!
0000188_02,700,G10,#NUM!,None,0,#NUM!
0000188_02,800,G10,#NUM!,None,0,#NUM!
0000188_02,700,G11,#NUM!,None,0,#NUM!
0000188_02,800,G11,#NUM!,None,0,#NUM!
0000188_02,700,G12,#NUM!,None,0,#NUM!
0000188_02,800,G12,#NUM!,None,0,#NUM!
0000188_02,700,H01,#NUM!,None,0,#NUM!
0000188_02,800,H01,#NUM!,None,0,#NUM!
0000188_02,700,H02,#NUM!,None,0,#NUM!
0000188_02,800,H02,#NUM!,None,0,#NUM!
0000188_02,700,H03,#NUM!,None,0,#NUM!
0000188_02,800,H03,#NUM!,None,0,#NUM!
0000188_02,700,H04,#NUM!,None,0,#NUM!
0000188_02,800,H04,#NUM!,None,0,#NUM!
0000188_02,700,H05,#NUM!,None,0,#NUM!
0000188_02,800,H05,#NUM!,None,0,#NUM!
0000188_02,700,H06,#NUM!,None,0,#NUM!
0000188_02,800,H06,#NUM!,None,0,#NUM!
0000188_02,700,H07,#NUM!,None,0,#NUM!
0000188_02,800,H07,#NUM!,None,0,#NUM!
0000188_02,700,H08,#NUM!,None,0,#NUM!
0000188_02,800,H08,#NUM!,None,0,#NUM!
0000188_02,700,H09,#NUM!,None,0,#NUM!
0000188_02,800,H09,#NUM!,None,0,#NUM!
0000188_02,700,H10,#NUM!,None,0,#NUM!
0000188_02,800,H10,#NUM!,None,0,#NUM!
0000188_02,700,H11,#NUM!,None,0,#NUM!
0000188_02,800,H11,#NUM!,None,0,#NUM!
0000188_02,700,H12,#NUM!,None,0,#NUM!
0000188_02,800,H12,#NUM!,None,0,#NUM!
